Line #, Address, Count
1, 0xFFFFF80260CA7E85, 1
2, 0xFFFFF80260CA80D6, 2011
3, 0xFFFFF80260CA80D8, 9
4, 0xFFFFF80260CA80DD, 42
5, 0xFFFFF80260CA80E0, 27
6, 0xFFFFF80260CA80E8, 2033
7, 0xFFFFF80260CA80F1, 2
8, 0xFFFFF80260CA80F6, 39
9, 0xFFFFF80260CA80FB, 2119
10, 0xFFFFF80260CA8100, 338
11, 0xFFFFF80260CA8104, 26
12, 0xFFFFF80260CA8109, 1831
13, 0xFFFFF80260CA810E, 2
14, 0xFFFFF80260CA8112, 180
15, 0xFFFFF80260CA8115, 31
16, 0xFFFFF80260CA811E, 1839
17, 0xFFFFF80260CA8125, 2
18, 0xFFFFF80260CA812E, 205
19, 0xFFFFF80260CA8132, 407
20, 0xFFFFF80260CA8135, 1771
21, 0xFFFFF80260CA8138, 1
22, 0xFFFFF80260CA813A, 212
23, 0xFFFFF80260CA813C, 84
24, 0xFFFFF80260CA813F, 3657
25, 0xFFFFF80260CA8142, 13
26, 0xFFFFF80260CA8145, 4092
27, 0xFFFFF80260CA8148, 6111
28, 0xFFFFF80260CA814B, 2163
29, 0xFFFFF80260CA8155, 4128
30, 0xFFFFF80260CA8159, 13
31, 0xFFFFF80260CA815E, 47
32, 0xFFFFF80260CA8169, 2051
33, 0xFFFFF80260CA816D, 11
34, 0xFFFFF80260CA8177, 35
35, 0xFFFFF80260CA817E, 2026
36, 0xFFFFF80260CA8180, 6
37, 0xFFFFF80260CA8189, 40
38, 0xFFFFF80260CA818D, 22
39, 0xFFFFF80260CA8191, 2104
40, 0xFFFFF80260CA8195, 10784
41, 0xFFFFF80260CA8197, 43
42, 0xFFFFF80260CA819B, 1988
43, 0xFFFFF80260CA81A4, 20
44, 0xFFFFF80260CA81A8, 36
45, 0xFFFFF80260CA81AB, 89
46, 0xFFFFF80260CA81AD, 1973
47, 0xFFFFF80260CA81B2, 30
48, 0xFFFFF80260CA81B7, 2
49, 0xFFFFF80260CA81C0, 2
50, 0xFFFFF80260CA81C9, 7
51, 0xFFFFF80260CA81CE, 1
52, 0xFFFFF80260CA81D1, 2
53, 0xFFFFF80260CA81D5, 13
54, 0xFFFFF80260CA81DA, 3
55, 0xFFFFF80260CA81DF, 1
56, 0xFFFFF80260CA81E4, 72
57, 0xFFFFF80260CA81E9, 87
