name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\build\precompile.cc,1532,88545,7,92
..\..\base\rand_util_win.cc,721,2648,38,17
gen\base\base_jumbo_1.cc,928,38186,9,93
gen\base\base_jumbo_2.cc,1064,37808,9,92
gen\base\base_jumbo_3.cc,3059,50158,8,131
gen\base\base_jumbo_4.cc,2448,58861,13,173
gen\base\base_jumbo_5.cc,820,17684,6,50
gen\base\base_jumbo_6.cc,1402,45075,9,117
gen\base\base_jumbo_7.cc,1838,54233,9,154
gen\base\base_jumbo_8.cc,2815,53514,12,149
gen\base\base_jumbo_9.cc,1587,48600,9,135
gen\base\base_jumbo_10.cc,815,35196,7,79
gen\base\base_jumbo_11.cc,1530,40127,9,93
gen\base\base_jumbo_12.cc,1829,57173,9,166
gen\base\base_jumbo_13.cc,2090,53009,9,151
gen\base\base_jumbo_14.cc,1632,54975,6,148
gen\base\base_jumbo_15.cc,1192,39554,8,93
gen\base\base_jumbo_16.cc,2259,55033,11,159
gen\base\base_jumbo_17.cc,1989,69075,8,199
gen\base\base_jumbo_18.cc,1774,56603,8,160
gen\base\base_jumbo_19.cc,3425,63846,11,175
gen\base\base_jumbo_20.cc,2048,57079,10,166
gen\base\base_jumbo_21.cc,1721,44557,8,112
gen\base\base_jumbo_22.cc,2876,59008,10,175
gen\base\base_jumbo_23.cc,2776,49084,10,145
gen\base\base_jumbo_24.cc,1879,54297,10,152
gen\base\base_jumbo_25.cc,1327,43742,7,116
gen\base\base_jumbo_26.cc,1579,48637,8,131
gen\base\base_jumbo_27.cc,1503,48226,12,128
gen\base\base_jumbo_28.cc,1177,36215,6,83
gen\base\base_jumbo_29.cc,1168,21210,10,65
gen\base\base_jumbo_30.cc,1280,34552,7,87
gen\base\base_jumbo_31.cc,2984,60398,11,184
gen\base\base_jumbo_32.cc,1942,46370,8,134
gen\base\base_jumbo_33.cc,1323,44632,13,122
gen\base\base_jumbo_34.cc,848,15545,6,33
gen\base\base_jumbo_35.cc,1753,19078,11,44
gen\base\base_jumbo_36.cc,1353,36074,7,84
gen\base\base_jumbo_37.cc,976,20795,6,53
gen\base\base_jumbo_38.cc,2541,52622,13,157
gen\base\base_jumbo_39.cc,1606,56581,7,157
gen\base\base_jumbo_40.cc,1380,53764,11,165
gen\base\base_jumbo_41.cc,802,39510,7,92
gen\base\base_jumbo_42.cc,737,27020,8,84
gen\base\base_jumbo_43.cc,3253,69455,8,200
gen\base\base_jumbo_44.cc,2671,71745,10,202
gen\base\base_jumbo_45.cc,2204,71131,12,206
gen\base\base_jumbo_46.cc,1133,44209,7,118
gen\base\base_jumbo_47.cc,1154,48109,8,130
gen\base\base_jumbo_48.cc,1984,52524,9,153
gen\base\base_jumbo_49.cc,3005,68171,12,219
gen\base\base_jumbo_50.cc,1921,55005,6,167
gen\base\base_jumbo_51.cc,1799,60261,10,169
gen\base\base_jumbo_52.cc,1737,59788,8,168
gen\base\base_jumbo_53.cc,2481,72507,10,215
gen\base\base_jumbo_54.cc,814,39797,6,101
gen\base\base_jumbo_55.cc,1792,47063,12,134
gen\base\base_jumbo_56.cc,666,8416,10,44
gen\base\base_jumbo_57.cc,1163,47999,8,141
gen\base\base_jumbo_58.cc,1186,51962,8,144
gen\base\base_jumbo_59.cc,847,32489,6,68
gen\base\base_jumbo_60.cc,2281,58455,13,180
gen\base\base_jumbo_61.cc,2087,58074,10,166
gen\base\base_jumbo_62.cc,2518,55331,7,155
gen\base\base_jumbo_63.cc,3356,64426,8,202
gen\base\base_jumbo_64.cc,2359,56261,11,160
gen\base\base_jumbo_65.cc,1279,22465,8,63
gen\base\base_jumbo_66.cc,1439,31861,11,74
gen\base\base_jumbo_67.cc,1355,36147,7,88
gen\base\base_jumbo_68.cc,1615,45202,12,131
gen\base\base_jumbo_69.cc,1737,37370,9,100
gen\base\base_jumbo_70.cc,1520,35971,6,81
gen\base\base_jumbo_71.cc,10121,48160,10,140
gen\base\base_jumbo_72.cc,1666,48211,8,138
gen\base\base_jumbo_73.cc,1679,57924,9,171
gen\base\base_jumbo_74.cc,1339,43458,10,118
gen\base\base_jumbo_75.cc,1542,53246,10,173
gen\base\base_jumbo_76.cc,1618,41552,7,98
..\..\build\precompile.cc,219,389,7,6
gen\base\base_jumbo_c.c,91,777,5,2
..\..\base\base_switches.cc,483,261,149,2
..\..\base\win\static_constants.cc,70,21,13,1
..\..\base\win\pe_image.cc,940,50097,651,59
..\..\third_party\boringssl\err_data.c,95,2097,1407,9
..\..\third_party\boringssl\src\crypto\asn1\a_bitstr.c,312,7504,271,22
..\..\third_party\boringssl\src\crypto\asn1\a_bool.c,150,6486,123,21
..\..\third_party\boringssl\src\crypto\asn1\a_d2i_fp.c,145,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_dup.c,163,6486,87,21
..\..\third_party\boringssl\src\crypto\asn1\a_enum.c,343,7504,195,22
..\..\third_party\boringssl\src\crypto\asn1\a_gentm.c,158,6590,261,22
..\..\third_party\boringssl\src\crypto\asn1\a_i2d_fp.c,142,6486,88,21
..\..\third_party\boringssl\src\crypto\asn1\a_int.c,317,7504,420,22
..\..\third_party\boringssl\src\crypto\asn1\a_mbstr.c,153,7412,305,25
..\..\third_party\boringssl\src\crypto\asn1\a_object.c,378,12715,286,26
..\..\third_party\boringssl\src\crypto\asn1\a_octet.c,134,6486,77,21
..\..\third_party\boringssl\src\crypto\asn1\a_print.c,133,6486,93,21
..\..\third_party\boringssl\src\crypto\asn1\a_strnid.c,153,11697,313,25
..\..\third_party\boringssl\src\crypto\asn1\a_time.c,153,7482,212,23
..\..\third_party\boringssl\src\crypto\asn1\a_type.c,149,12589,151,26
..\..\third_party\boringssl\src\crypto\asn1\a_utctm.c,156,6590,303,22
..\..\third_party\boringssl\src\crypto\asn1\a_utf8.c,144,6590,236,22
..\..\third_party\boringssl\src\crypto\asn1\asn1_lib.c,362,7522,446,23
..\..\third_party\boringssl\src\crypto\asn1\asn1_par.c,144,6174,80,18
..\..\third_party\boringssl\src\crypto\asn1\asn_pack.c,129,6486,105,21
..\..\third_party\boringssl\src\crypto\asn1\f_enum.c,138,6174,93,18
..\..\third_party\boringssl\src\crypto\asn1\f_int.c,112,6174,97,18
..\..\third_party\boringssl\src\crypto\asn1\f_string.c,117,6174,91,18
..\..\third_party\boringssl\src\crypto\asn1\tasn_dec.c,372,8396,1244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_enc.c,355,8396,664,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_fre.c,155,7482,244,23
..\..\third_party\boringssl\src\crypto\asn1\tasn_new.c,369,13711,387,28
..\..\third_party\boringssl\src\crypto\asn1\tasn_typ.c,158,7066,131,19
..\..\third_party\boringssl\src\crypto\asn1\tasn_utl.c,356,13607,280,27
..\..\third_party\boringssl\src\crypto\asn1\time_support.c,127,6278,206,19
..\..\third_party\boringssl\src\crypto\base64\base64.c,336,3917,444,15
..\..\third_party\boringssl\src\crypto\bio\bio.c,349,7504,700,22
..\..\third_party\boringssl\src\crypto\bio\bio_mem.c,312,5451,330,19
..\..\third_party\boringssl\src\crypto\bio\connect.c,387,5562,545,20
..\..\third_party\boringssl\src\crypto\bio\fd.c,347,5562,279,20
..\..\third_party\boringssl\src\crypto\bio\file.c,367,5451,317,19
..\..\third_party\boringssl\src\crypto\bio\hexdump.c,327,5276,192,18
..\..\third_party\boringssl\src\crypto\bio\pair.c,403,5451,488,19
..\..\third_party\boringssl\src\crypto\bio\printf.c,128,4433,115,18
..\..\third_party\boringssl\src\crypto\bio\socket.c,365,4267,206,17
..\..\third_party\boringssl\src\crypto\bio\socket_helper.c,348,5387,118,19
..\..\third_party\boringssl\src\crypto\bn_extra\bn_asn1.c,106,4066,64,13
..\..\third_party\boringssl\src\crypto\bn_extra\convert.c,378,8010,470,24
..\..\third_party\boringssl\src\crypto\buf\buf.c,351,4500,168,17
..\..\third_party\boringssl\src\crypto\bytestring\asn1_compat.c,284,4724,52,18
..\..\third_party\boringssl\src\crypto\bytestring\ber.c,293,4549,265,17
..\..\third_party\boringssl\src\crypto\bytestring\cbb.c,311,4628,679,17
..\..\third_party\boringssl\src\crypto\bytestring\cbs.c,358,4821,630,19
