name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\third_party\blink\renderer\platform\text\character_property_data_generator.cc,1016,80253,142,111
..\..\third_party\blink\common\associated_interfaces\associated_interface_provider.cc,1711,142556,106,307
..\..\third_party\blink\common\associated_interfaces\associated_interface_registry.cc,1085,120959,38,182
..\..\third_party\blink\common\blob\blob_utils.cc,893,116978,59,161
..\..\third_party\blink\common\bluetooth\web_bluetooth_device_id.cc,760,96933,91,117
..\..\third_party\blink\common\browser_interface_broker_proxy.cc,1579,142530,65,311
..\..\third_party\blink\common\cache_storage\cache_storage_utils.cc,744,95841,27,112
..\..\third_party\blink\common\client_hints\client_hints.cc,783,95236,61,109
..\..\third_party\blink\common\device_memory\approximated_device_memory.cc,838,100261,69,124
..\..\third_party\blink\common\dom_storage\session_storage_namespace_id.cc,721,70635,22,95
..\..\third_party\blink\common\experiments\memory_ablation_experiment.cc,1170,127898,140,195
..\..\third_party\blink\common\feature_policy\document_policy.cc,1345,133973,165,259
..\..\third_party\blink\common\feature_policy\feature_policy.cc,1833,139400,555,285
..\..\third_party\blink\common\feature_policy\policy_value.cc,1168,133375,172,254
..\..\third_party\blink\common\features.cc,914,116945,414,160
..\..\third_party\blink\common\fetch\fetch_api_request_body_mojom_traits.cc,2981,208292,48,654
..\..\third_party\blink\common\frame\frame_policy.cc,858,101637,26,140
..\..\third_party\blink\common\frame\from_ad_state.cc,73,69,17,2
..\..\third_party\blink\common\frame\user_activation_state.cc,734,75398,52,108
..\..\third_party\blink\common\http\structured_header.cc,1126,97090,351,116
..\..\third_party\blink\common\indexeddb\indexed_db_default_mojom_traits.cc,2284,163801,244,361
..\..\third_party\blink\common\indexeddb\indexeddb_key.cc,1463,147801,157,305
..\..\third_party\blink\common\indexeddb\indexeddb_key_path.cc,1452,147753,54,305
..\..\third_party\blink\common\indexeddb\indexeddb_key_range.cc,1469,147843,44,306
..\..\third_party\blink\common\indexeddb\indexeddb_metadata.cc,1657,147850,106,306
..\..\third_party\blink\common\loader\mime_sniffing_throttle.cc,3302,204786,67,637
