name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\build\precompile.cc,1333,88545,7,92
..\..\base\allocator\allocator_check.cc,471,355,46,6
..\..\base\allocator\allocator_extension.cc,489,2649,73,18
..\..\base\at_exit.cc,829,25394,114,68
..\..\base\barrier_closure.cc,723,24015,51,65
..\..\base\base64.cc,577,14859,44,31
..\..\base\base64url.cc,597,18897,101,44
..\..\base\big_endian.cc,480,5897,129,25
..\..\base\build_time.cc,603,7245,25,32
..\..\base\callback_helpers.cc,746,24112,40,65
..\..\base\callback_internal.cc,713,21807,100,57
..\..\base\command_line.cc,1326,16716,557,37
..\..\base\containers\intrusive_heap.cc,533,3670,46,18
..\..\base\cpu.cc,623,24802,312,38
..\..\base\debug\activity_analyzer.cc,2112,46919,401,121
..\..\base\debug\activity_tracker.cc,2224,54731,1798,150
..\..\base\debug\alias.cc,535,14224,16,29
..\..\base\debug\asan_invalid_access.cc,833,14282,104,31
..\..\base\debug\close_handle_hook_win.cc,908,27210,263,52
..\..\base\debug\crash_logging.cc,457,3314,54,19
..\..\base\debug\debugger.cc,574,7520,42,32
..\..\base\debug\debugger_win.cc,708,240,37,5
..\..\base\debug\dump_without_crashing.cc,435,2607,41,17
..\..\base\debug\gdi_debug_util_win.cc,1066,33934,509,72
..\..\base\debug\invalid_access_win.cc,661,3734,56,25
..\..\base\debug\profiler.cc,814,16924,180,41
..\..\base\debug\stack_trace.cc,547,12987,305,25
..\..\base\debug\stack_trace_win.cc,1130,38190,363,86
..\..\base\debug\task_trace.cc,817,35501,111,80
..\..\base\deferred_sequenced_task_runner.cc,831,38841,126,90
..\..\base\enterprise_util_win.cc,449,3754,21,21
..\..\base\environment.cc,846,14320,123,31
..\..\base\feature_list.cc,1606,48341,500,128
..\..\base\file_version_info_win.cc,868,16653,201,42
..\..\base\files\file.cc,741,34803,167,74
..\..\base\files\file_enumerator.cc,923,35185,25,72
..\..\base\files\file_path.cc,1157,34443,1365,73
..\..\base\files\file_path_constants.cc,496,13864,25,26
..\..\base\files\file_path_watcher.cc,838,37971,46,88
..\..\base\files\file_path_watcher_win.cc,1175,42880,301,107
..\..\base\files\file_proxy.cc,1375,41798,358,103
..\..\base\files\file_tracing.cc,728,33445,65,69
..\..\base\files\file_util.cc,1097,36296,337,78
..\..\base\files\file_util_win.cc,1618,41700,1048,103
..\..\base\files\file_win.cc,1078,35964,454,78
..\..\base\files\important_file_writer.cc,1088,46648,314,126
..\..\base\files\memory_mapped_file.cc,981,33476,144,69
..\..\base\files\memory_mapped_file_win.cc,939,33755,144,70
..\..\base\files\scoped_file.cc,407,3091,49,19
..\..\base\files\scoped_temp_dir.cc,748,33755,97,69
..\..\base\guid.cc,508,14378,90,31
..\..\base\hash\hash.cc,504,14333,127,30
..\..\base\json\json_file_value_serializer.cc,879,36297,113,74
..\..\base\json\json_parser.cc,1067,20530,734,49
..\..\base\json\json_reader.cc,690,17706,154,39
..\..\base\json\json_string_value_serializer.cc,649,17954,55,38
..\..\base\json\json_value_converter.cc,751,17685,59,36
..\..\base\json\json_writer.cc,625,17484,206,38
..\..\base\json\string_escape.cc,561,14911,164,33
..\..\base\lazy_instance_helpers.cc,649,23487,64,64
..\..\base\location.cc,589,27078,96,48
..\..\base\logging.cc,1618,54397,1180,153
..\..\base\logging_win.cc,962,24696,138,68
..\..\base\memory\aligned_memory.cc,459,2630,49,17
..\..\base\memory\discardable_memory.cc,439,571,13,4
..\..\base\memory\discardable_memory_allocator.cc,417,2608,29,17
..\..\base\memory\discardable_shared_memory.cc,1415,49343,542,134
..\..\base\memory\memory_pressure_listener.cc,1551,52556,130,137
..\..\base\memory\memory_pressure_monitor.cc,777,36363,74,81
..\..\base\memory\platform_shared_memory_region.cc,670,31846,62,66
..\..\base\memory\protected_memory.cc,572,21611,17,56
..\..\base\memory\protected_memory_win.cc,999,37766,52,80
..\..\base\memory\read_only_shared_memory_region.cc,701,32191,103,68
..\..\base\memory\ref_counted.cc,609,21613,101,56
..\..\base\memory\ref_counted_memory.cc,826,36275,112,84
..\..\base\memory\shared_memory_handle.cc,565,16058,23,36
..\..\base\memory\shared_memory_mapping.cc,1034,36449,115,87
..\..\base\memory\shared_memory_tracker.cc,1358,53581,147,148
..\..\base\memory\unsafe_shared_memory_region.cc,684,32184,96,68
..\..\base\memory\weak_ptr.cc,682,22058,99,58
..\..\base\memory\writable_shared_memory_region.cc,670,32462,99,70
..\..\base\message_loop\message_loop.cc,1773,66384,164,181
..\..\base\message_loop\message_loop_current.cc,1625,66586,265,183
..\..\base\message_loop\message_pump.cc,1103,36389,93,91
..\..\base\message_loop\message_pump_default.cc,725,33336,98,72
..\..\base\message_loop\message_pump_win.cc,1747,54500,734,149
..\..\base\message_loop\work_id_provider.cc,643,21182,54,59
..\..\base\metrics\bucket_ranges.cc,640,20570,53,51
..\..\base\metrics\crc32.cc,425,115,81,3
..\..\base\metrics\dummy_histogram.cc,752,20892,102,53
..\..\base\metrics\field_trial.cc,2369,54382,1500,150
..\..\base\metrics\field_trial_param_associator.cc,1476,49385,88,130
..\..\base\metrics\field_trial_params.cc,1481,49768,207,133
..\..\base\metrics\histogram.cc,1346,46535,1389,113
..\..\base\metrics\histogram_base.cc,1115,41722,215,98
..\..\base\metrics\histogram_delta_serialization.cc,996,40382,81,94
..\..\base\metrics\histogram_functions.cc,739,34038,254,69
..\..\base\metrics\histogram_samples.cc,890,36451,315,79
..\..\base\metrics\histogram_snapshot_manager.cc,1015,38093,123,89
..\..\base\metrics\metrics_hashes.cc,484,4330,31,27
..\..\base\metrics\persistent_histogram_allocator.cc,1709,49493,1009,135
..\..\base\metrics\persistent_memory_allocator.cc,1171,39427,1255,95
..\..\base\metrics\persistent_sample_map.cc,1089,37811,304,83
..\..\base\metrics\sample_map.cc,832,30932,125,58
..\..\base\metrics\sample_vector.cc,873,36438,429,80
..\..\base\metrics\single_sample_metrics.cc,807,32999,77,65
..\..\base\metrics\sparse_histogram.cc,1025,40448,290,101
..\..\base\metrics\statistics_recorder.cc,1645,44387,415,107
..\..\base\metrics\ukm_source_id.cc,457,2770,50,19
..\..\base\metrics\user_metrics.cc,1210,52563,76,139
..\..\base\native_library.cc,734,14000,15,27
..\..\base\native_library_win.cc,1024,38490,258,93
..\..\base\observer_list_internal.cc,808,22445,20,61
..\..\base\observer_list_threadsafe.cc,861,41175,16,102
..\..\base\observer_list_types.cc,689,22107,16,59
..\..\base\one_shot_event.cc,966,39452,111,98
..\..\base\path_service.cc,1460,34693,339,75
..\..\base\pending_task.cc,754,35058,43,76
..\..\base\pickle.cc,754,22803,435,60
..\..\base\power_monitor\power_monitor.cc,1487,52634,84,139
..\..\base\power_monitor\power_monitor_device_source.cc,888,21808,28,59
..\..\base\power_monitor\power_monitor_source.cc,871,41356,69,105
..\..\base\process\environment_internal.cc,533,3325,128,20
..\..\base\process\kill.cc,1200,42973,62,110
..\..\base\process\kill_win.cc,987,33715,116,70
..\..\base\process\launch.cc,1095,33021,27,66
..\..\base\process\launch_win.cc,1444,47909,431,125
..\..\base\process\memory.cc,522,15192,54,33
..\..\base\process\memory_win.cc,759,14348,84,29
..\..\base\process\process_handle.cc,506,14273,40,28
..\..\base\process\process_handle_win.cc,906,28334,52,55
..\..\base\process\process_info_win.cc,960,31099,86,61
..\..\base\process\process_iterator.cc,983,33485,66,68
..\..\base\process\process_iterator_win.cc,941,33485,43,68
..\..\base\process\process_metrics.cc,807,35324,167,68
..\..\base\process\process_metrics_win.cc,1081,35775,305,72
..\..\base\process\process_win.cc,1145,42385,252,102
..\..\base\profiler\frame.cc,772,14006,14,28
..\..\base\profiler\metadata_recorder.cc,1003,35522,205,76
..\..\base\profiler\native_unwinder_win.cc,876,14396,98,33
..\..\base\profiler\profile_builder.cc,932,18716,7,43
..\..\base\profiler\sample_metadata.cc,899,20485,35,52
..\..\base\profiler\sampling_profiler_thread_token.cc,603,7503,17,32
..\..\base\profiler\stack_buffer.cc,411,194,17,4
..\..\base\profiler\stack_copier.cc,675,754,74,5
..\..\base\profiler\stack_copier_suspend.cc,1022,20826,82,56
..\..\base\profiler\stack_sampler.cc,620,7667,27,35
..\..\base\profiler\stack_sampler_impl.cc,1000,21035,116,59
..\..\base\profiler\stack_sampler_win.cc,969,33311,40,76
..\..\base\profiler\stack_sampling_profiler.cc,1745,54436,763,155
..\..\base\profiler\suspendable_thread_delegate_win.cc,1012,33894,231,76
..\..\base\rand_util.cc,598,15832,82,30
..\..\base\run_loop.cc,1204,42749,359,114
..\..\base\sampling_heap_profiler\lock_free_address_hash_set.cc,570,14873,64,32
..\..\base\sampling_heap_profiler\module_cache.cc,844,13977,60,27
..\..\base\sampling_heap_profiler\module_cache_win.cc,1118,29820,151,62
..\..\base\sampling_heap_profiler\poisson_allocation_sampler.cc,1077,42114,558,114
..\..\base\sampling_heap_profiler\sampling_heap_profiler.cc,1281,43702,298,123
..\..\base\scoped_clear_last_error_win.cc,662,332,22,4
..\..\base\scoped_native_library.cc,839,14515,40,30
..\..\base\sequence_checker_impl.cc,618,20751,91,55
..\..\base\sequence_token.cc,539,15761,96,39
..\..\base\sequenced_task_runner.cc,862,38744,38,89
..\..\base\strings\latin1_string_conversions.cc,477,674,19,6
..\..\base\strings\nullable_string16.cc,545,14235,33,29
..\..\base\strings\pattern.cc,492,3675,155,20
..\..\base\strings\safe_sprintf.cc,481,2919,682,18
..\..\base\strings\strcat.cc,620,14759,81,30
..\..\base\strings\string_number_conversions.cc,880,20045,516,49
..\..\base\strings\string_piece.cc,515,3264,453,19
..\..\base\strings\string_split.cc,833,14785,253,30
..\..\base\strings\string_util.cc,942,16551,1145,34
..\..\base\strings\string_util_constants.cc,477,14180,54,28
..\..\base\strings\stringprintf.cc,663,14308,225,30
..\..\base\strings\sys_string_conversions_win.cc,724,3294,71,19
..\..\base\strings\utf_offset_string_conversions.cc,585,3424,263,20
..\..\base\strings\utf_string_conversion_utils.cc,388,1182,155,7
..\..\base\strings\utf_string_conversions.cc,573,14776,342,31
..\..\base\supports_user_data.cc,850,21711,74,57
..\..\base\sync_socket_win.cc,978,33022,356,67
..\..\base\synchronization\atomic_flag.cc,564,8230,30,37
..\..\base\synchronization\condition_variable_win.cc,937,20688,69,51
..\..\base\synchronization\lock.cc,549,8018,38,34
..\..\base\synchronization\lock_impl_win.cc,1161,41150,40,97
..\..\base\synchronization\waitable_event_watcher_win.cc,1096,37956,61,90
..\..\base\synchronization\waitable_event_win.cc,1234,42544,153,102
..\..\base\syslog_logging.cc,1050,36280,143,81
..\..\base\system\sys_info.cc,1116,44207,135,116
..\..\base\system\system_monitor.cc,1134,41250,51,103
..\..\base\task\cancelable_task_tracker.cc,1125,39845,182,96
..\..\base\task\common\checked_lock_impl.cc,914,27282,170,63
..\..\base\task\common\operations_controller.cc,653,27248,104,51
..\..\base\task\common\scoped_defer_task_posting.cc,844,37198,91,88
..\..\base\task\common\task_annotator.cc,1230,52812,191,139
..\..\base\task\lazy_task_runner.cc,945,40511,122,101
..\..\base\task\post_job.cc,1049,47623,192,139
..\..\base\task\post_task.cc,1013,50039,162,147
..\..\base\task\promise\abstract_promise.cc,1085,40821,740,98
..\..\base\task\promise\dependent_list.cc,858,36004,282,79
..\..\base\task\promise\finally_executor.cc,761,39298,21,89
..\..\base\task\promise\helpers.cc,856,39778,60,94
..\..\base\task\promise\no_op_promise_executor.cc,867,36556,59,83
..\..\base\task\promise\promise_executor.cc,503,3798,37,20
..\..\base\task\promise\promise_value.cc,832,36004,22,79
..\..\base\task\promise\then_and_catch_executor.cc,868,39396,55,89
..\..\base\task\scoped_set_task_priority_for_current_thread.cc,516,19163,41,50
..\..\base\task\sequence_manager\associated_thread_id.cc,637,22959,34,61
..\..\base\task\sequence_manager\atomic_flag_set.cc,746,23653,212,65
..\..\base\task\sequence_manager\enqueue_order_generator.cc,434,170,18,4
..\..\base\task\sequence_manager\lazy_now.cc,598,8231,36,33
..\..\base\task\sequence_manager\real_time_domain.cc,1583,66543,58,182
..\..\base\task\sequence_manager\sequence_manager.cc,1234,55351,123,159
..\..\base\task\sequence_manager\sequence_manager_impl.cc,2915,68036,1202,196
..\..\base\task\sequence_manager\task_queue.cc,1763,66341,359,180
..\..\base\task\sequence_manager\task_queue_impl.cc,2248,67800,1394,187
..\..\base\task\sequence_manager\task_queue_selector.cc,1339,56073,314,163
..\..\base\task\sequence_manager\tasks.cc,824,38330,65,90
..\..\base\task\sequence_manager\thread_controller_impl.cc,1786,66637,329,182
..\..\base\task\sequence_manager\thread_controller_with_message_pump_impl.cc,1760,67139,547,188
..\..\base\task\sequence_manager\time_domain.cc,1841,66501,168,181
..\..\base\task\sequence_manager\work_deduplicator.cc,748,23116,96,62
..\..\base\task\sequence_manager\work_queue.cc,1704,66341,320,180
..\..\base\task\sequence_manager\work_queue_sets.cc,1391,55705,255,161
..\..\base\task\simple_task_executor.cc,1295,55532,74,162
..\..\base\task\single_thread_task_executor.cc,1708,66573,41,184
..\..\base\task\task_executor.cc,805,38206,77,93
..\..\base\task\task_features.cc,762,35211,34,74
..\..\base\task\task_traits.cc,454,5027,53,22
..\..\base\task\thread_pool\delayed_task_manager.cc,1080,43016,158,109
..\..\base\task\thread_pool\environment_config.cc,765,38682,47,95
..\..\base\task\thread_pool\initialization_util.cc,631,18762,23,43
..\..\base\task\thread_pool\job_task_source.cc,981,46128,387,118
..\..\base\task\thread_pool\pooled_parallel_task_runner.cc,1052,43001,52,108
..\..\base\task\thread_pool\pooled_sequenced_task_runner.cc,863,43086,53,110
..\..\base\task\thread_pool\pooled_single_thread_task_runner_manager.cc,1722,48057,763,134
..\..\base\task\thread_pool\pooled_task_runner_delegate.cc,882,43001,40,108
..\..\base\task\thread_pool\priority_queue.cc,995,42315,211,103
..\..\base\task\thread_pool\sequence.cc,1065,48000,153,123
..\..\base\task\thread_pool\sequence_sort_key.cc,594,9721,29,37
..\..\base\task\thread_pool\service_thread.cc,1074,48783,99,132
..\..\base\task\thread_pool\task.cc,870,38263,45,91
..\..\base\task\thread_pool\task_source.cc,954,46932,177,120
..\..\base\task\thread_pool\task_tracker.cc,1513,58739,805,168
..\..\base\task\thread_pool\thread_group.cc,1508,48659,288,133
..\..\base\task\thread_pool\thread_group_impl.cc,1953,53451,1185,150
..\..\base\task\thread_pool\thread_group_native.cc,981,45400,185,117
..\..\base\task\thread_pool\thread_group_native_win.cc,1364,45194,101,120
..\..\base\task\thread_pool\thread_pool_impl.cc,1774,54167,543,164
..\..\base\task\thread_pool\thread_pool_instance.cc,968,48280,87,140
..\..\base\task\thread_pool\worker_thread.cc,1275,54554,351,153
..\..\base\task\thread_pool\worker_thread_stack.cc,973,43231,57,108
..\..\base\task_runner.cc,890,39421,79,90
..\..\base\third_party\cityhash\city.cc,479,232,532,2
..\..\base\third_party\icu\icu_utf.cc,432,442,131,1
..\..\base\third_party\nspr\prtime.cc,487,2833,1186,17
..\..\build\precompile.cc,197,389,7,6
..\..\base\third_party\superfasthash\superfasthash.c,76,693,84,1
..\..\base\threading\platform_thread.cc,812,34897,50,72
..\..\base\threading\platform_thread_win.cc,1268,47589,464,128
..\..\base\threading\post_task_and_reply_impl.cc,878,38890,156,92
..\..\base\threading\scoped_blocking_call.cc,1153,50787,141,132
..\..\base\threading\scoped_thread_priority.cc,1206,51702,73,136
..\..\base\threading\sequence_local_storage_map.cc,655,18052,105,46
..\..\base\threading\sequence_local_storage_slot.cc,446,4109,27,21
..\..\base\threading\sequenced_task_runner_handle.cc,850,38200,52,92
..\..\base\threading\simple_thread.cc,843,35142,178,72
..\..\base\threading\thread.cc,1971,68959,404,196
