name,t_ms,num_dependent_lines,num_lines,num_deps
gen\mojo\public\js\grit\mojo_bindings_resources_map.cc,833,94555,27,106
gen\components\services\app_service\public\mojom\types.mojom-test-utils.cc,1305,136899,37,273
gen\components\services\app_service\public\mojom\types.mojom.cc,1468,142911,51,292
gen\components\services\app_service\public\mojom\types.mojom-shared.cc,1289,133034,96,253
gen\mojo\public\interfaces\bindings\interface_control_messages.mojom-test-utils.cc,1356,140737,37,272
gen\mojo\public\interfaces\bindings\interface_control_messages.mojom.cc,1634,142263,649,286
gen\mojo\public\interfaces\bindings\native_struct.mojom-test-utils.cc,1306,137210,37,272
gen\mojo\public\interfaces\bindings\native_struct.mojom.cc,1663,143203,117,290
gen\mojo\public\interfaces\bindings\pipe_control_messages.mojom-test-utils.cc,1365,138577,37,272
gen\mojo\public\interfaces\bindings\pipe_control_messages.mojom.cc,1649,144570,313,290
gen\mojo\public\interfaces\bindings\interface_control_messages.mojom-shared.cc,1453,134622,704,251
gen\mojo\public\interfaces\bindings\native_struct.mojom-shared.cc,1250,132949,171,251
gen\mojo\public\interfaces\bindings\pipe_control_messages.mojom-shared.cc,1348,133589,372,251
gen\ui\base\mojom\cursor_type.mojom-test-utils.cc,1288,136900,37,273
gen\ui\base\mojom\cursor_type.mojom.cc,1431,142912,51,292
gen\ui\base\mojom\cursor_type.mojom-shared.cc,1293,133037,135,253
gen\ipc\ipc.mojom-test-utils.cc,1849,155426,73,365
gen\ipc\ipc.mojom.cc,2264,161585,434,384
gen\ipc\ipc.mojom-shared.cc,1434,141045,259,298
gen\mojo\public\mojom\base\application_state.mojom-shared.cc,1219,132901,43,253
gen\mojo\public\mojom\base\big_buffer.mojom-shared.cc,1442,140254,148,295
gen\mojo\public\mojom\base\big_string.mojom-shared.cc,1451,140516,81,297
gen\mojo\public\mojom\base\file.mojom-shared.cc,1423,140019,83,295
gen\mojo\public\mojom\base\file_error.mojom-shared.cc,1220,132937,67,253
gen\mojo\public\mojom\base\file_info.mojom-shared.cc,1255,133545,95,255
gen\mojo\public\mojom\base\file_path.mojom-shared.cc,1264,132976,85,253
gen\mojo\public\mojom\base\generic_pending_receiver.mojom-shared.cc,1466,140040,94,295
gen\mojo\public\mojom\base\memory_allocator_dump_cross_process_uid.mojom-shared.cc,1250,132951,74,253
gen\mojo\public\mojom\base\memory_pressure_level.mojom-shared.cc,1257,132895,39,253
gen\mojo\public\mojom\base\message_pump_type.mojom-shared.cc,1259,132901,43,253
gen\mojo\public\mojom\base\process_id.mojom-shared.cc,1263,132952,74,253
gen\mojo\public\mojom\base\read_only_buffer.mojom-shared.cc,1343,132976,85,253
gen\mojo\public\mojom\base\ref_counted_memory.mojom-shared.cc,1384,140516,81,297
gen\mojo\public\mojom\base\shared_memory.mojom-shared.cc,1408,140302,197,295
gen\mojo\public\mojom\base\string16.mojom-shared.cc,1438,140672,140,297
gen\mojo\public\mojom\base\text_direction.mojom-shared.cc,1245,132895,39,253
gen\mojo\public\mojom\base\thread_priority.mojom-shared.cc,1262,132898,41,253
gen\mojo\public\mojom\base\time.mojom-shared.cc,1276,133213,170,253
gen\mojo\public\mojom\base\token.mojom-shared.cc,1190,132956,74,253
gen\mojo\public\mojom\base\unguessable_token.mojom-shared.cc,1225,132956,74,253
gen\mojo\public\mojom\base\values.mojom-shared.cc,1369,133476,245,253
gen\mojo\public\mojom\base\logfont_win.mojom-shared.cc,1260,132976,85,253
gen\mojo\public\mojom\base\application_state.mojom-test-utils.cc,1236,136766,37,273
gen\mojo\public\mojom\base\application_state.mojom.cc,1437,142777,51,292
gen\mojo\public\mojom\base\big_buffer.mojom-test-utils.cc,1480,145149,37,325
gen\mojo\public\mojom\base\big_buffer.mojom.cc,1829,151119,182,342
gen\mojo\public\mojom\base\big_string.mojom-test-utils.cc,1505,145711,38,330
gen\mojo\public\mojom\base\big_string.mojom.cc,1726,151693,79,348
gen\mojo\public\mojom\base\file.mojom-test-utils.cc,1480,144952,37,325
gen\mojo\public\mojom\base\file.mojom.cc,1730,150922,84,342
gen\mojo\public\mojom\base\file_error.mojom-test-utils.cc,1273,137301,37,275
gen\mojo\public\mojom\base\file_error.mojom.cc,1477,143312,51,294
gen\mojo\public\mojom\base\file_info.mojom-test-utils.cc,1375,138872,38,282
gen\mojo\public\mojom\base\file_info.mojom.cc,1526,144877,104,301
gen\mojo\public\mojom\base\file_path.mojom-test-utils.cc,1410,137076,37,275
gen\mojo\public\mojom\base\file_path.mojom.cc,1610,143069,79,293
gen\mojo\public\mojom\base\generic_pending_receiver.mojom-test-utils.cc,1501,144597,37,325
gen\mojo\public\mojom\base\generic_pending_receiver.mojom.cc,1765,150567,84,342
gen\mojo\public\mojom\base\memory_allocator_dump_cross_process_uid.mojom-test-utils.cc,1247,137106,37,276
gen\mojo\public\mojom\base\memory_allocator_dump_cross_process_uid.mojom.cc,1471,143099,79,294
gen\mojo\public\mojom\base\memory_pressure_level.mojom-test-utils.cc,1333,136865,37,274
gen\mojo\public\mojom\base\memory_pressure_level.mojom.cc,1550,142876,51,293
gen\mojo\public\mojom\base\message_pump_type.mojom-test-utils.cc,1378,136820,37,274
gen\mojo\public\mojom\base\message_pump_type.mojom.cc,1548,142831,51,293
gen\mojo\public\mojom\base\process_id.mojom-test-utils.cc,1325,137052,37,275
gen\mojo\public\mojom\base\process_id.mojom.cc,1468,143045,79,293
gen\mojo\public\mojom\base\read_only_buffer.mojom-test-utils.cc,1327,137076,37,275
gen\mojo\public\mojom\base\read_only_buffer.mojom.cc,1568,143069,79,293
gen\mojo\public\mojom\base\ref_counted_memory.mojom-test-utils.cc,1513,145859,38,330
gen\mojo\public\mojom\base\ref_counted_memory.mojom.cc,1747,151841,79,348
gen\mojo\public\mojom\base\shared_memory.mojom-test-utils.cc,1507,145077,37,323
gen\mojo\public\mojom\base\shared_memory.mojom.cc,1811,151047,135,340
gen\mojo\public\mojom\base\string16.mojom-test-utils.cc,1469,146013,38,329
gen\mojo\public\mojom\base\string16.mojom.cc,1917,151995,107,347
gen\mojo\public\mojom\base\text_direction.mojom-test-utils.cc,1318,136962,37,275
gen\mojo\public\mojom\base\text_direction.mojom.cc,1576,142973,51,294
gen\mojo\public\mojom\base\thread_priority.mojom-test-utils.cc,1291,136765,37,273
gen\mojo\public\mojom\base\thread_priority.mojom.cc,1437,142776,51,292
gen\mojo\public\mojom\base\time.mojom-test-utils.cc,1442,137703,37,276
gen\mojo\public\mojom\base\time.mojom.cc,1563,143696,135,294
gen\mojo\public\mojom\base\token.mojom-test-utils.cc,1273,137071,37,275
gen\mojo\public\mojom\base\token.mojom.cc,1541,143064,84,293
gen\mojo\public\mojom\base\unguessable_token.mojom-test-utils.cc,1314,137108,37,276
gen\mojo\public\mojom\base\unguessable_token.mojom.cc,1479,143101,84,294
gen\mojo\public\mojom\base\values.mojom-test-utils.cc,1394,139579,37,279
gen\mojo\public\mojom\base\values.mojom.cc,2009,145572,298,297
gen\mojo\public\mojom\base\logfont_win.mojom-test-utils.cc,1306,137091,37,276
gen\mojo\public\mojom\base\logfont_win.mojom.cc,1567,143084,79,294
gen\services\tracing\public\mojom\background_tracing_agent.mojom-test-utils.cc,1519,144489,79,321
gen\services\tracing\public\mojom\background_tracing_agent.mojom.cc,1865,150843,677,339
gen\services\tracing\public\mojom\traced_process.mojom-test-utils.cc,1797,152240,60,343
gen\services\tracing\public\mojom\traced_process.mojom.cc,2094,158328,351,361
gen\services\tracing\public\mojom\tracing_service.mojom-test-utils.cc,1871,152925,56,347
gen\services\tracing\public\mojom\tracing_service.mojom.cc,2150,159112,377,366
gen\services\tracing\public\mojom\constants.mojom-test-utils.cc,1277,136690,37,273
gen\services\tracing\public\mojom\constants.mojom.cc,1484,142701,53,292
gen\services\tracing\public\mojom\perfetto_service.mojom-test-utils.cc,1955,152079,222,344
gen\services\tracing\public\mojom\perfetto_service.mojom.cc,3610,159477,3106,361
gen\services\tracing\public\mojom\background_tracing_agent.mojom-shared.cc,1478,140306,365,295
gen\services\tracing\public\mojom\traced_process.mojom-shared.cc,1541,142528,186,297
gen\services\tracing\public\mojom\tracing_service.mojom-shared.cc,1532,142883,254,299
gen\services\tracing\public\mojom\constants.mojom-shared.cc,1259,132820,26,253
gen\services\tracing\public\mojom\perfetto_service.mojom-shared.cc,1785,143652,2059,295
gen\services\metrics\public\mojom\ukm_interface.mojom-test-utils.cc,1472,147986,52,336
gen\services\metrics\public\mojom\ukm_interface.mojom.cc,2045,154098,302,354
gen\services\metrics\public\mojom\ukm_interface.mojom-shared.cc,1511,140449,199,297
gen\url\mojom\url.mojom-shared.cc,1414,132971,85,253
gen\url\mojom\url.mojom-test-utils.cc,1501,139903,37,284
gen\url\mojom\url.mojom.cc,1625,145897,79,302
gen\content\public\common\service_names.mojom-test-utils.cc,1269,136687,37,273
gen\content\public\common\service_names.mojom.cc,1446,142699,55,292
gen\chrome\common\available_offline_content.mojom-test-utils.cc,1604,148409,78,337
gen\chrome\common\available_offline_content.mojom.cc,2043,154706,640,355
gen\chrome\common\available_offline_content.mojom-shared.cc,1495,140898,449,297
gen\chrome\common\cache_stats_recorder.mojom-test-utils.cc,1608,144188,48,321
gen\chrome\common\cache_stats_recorder.mojom.cc,1898,150224,173,339
gen\chrome\common\chrome_render_frame.mojom-test-utils.cc,2797,183090,123,476
gen\chrome\common\chrome_render_frame.mojom.cc,3019,188368,1110,488
gen\chrome\common\content_settings_agent.mojom-test-utils.cc,1565,144202,54,321
gen\chrome\common\content_settings_agent.mojom.cc,1865,150338,299,339
gen\chrome\common\content_settings_manager.mojom-test-utils.cc,2203,168194,76,425
gen\chrome\common\content_settings_manager.mojom.cc,2537,173116,641,437
gen\chrome\common\media\webrtc_logging.mojom-test-utils.cc,1744,145928,66,328
gen\chrome\common\media\webrtc_logging.mojom.cc,2012,152124,473,346
gen\chrome\common\metrics.mojom-test-utils.cc,1638,144203,63,321
gen\chrome\common\metrics.mojom.cc,1942,150287,392,339
gen\chrome\common\navigation_corrector.mojom-test-utils.cc,1615,147653,50,337
gen\chrome\common\navigation_corrector.mojom.cc,1938,153751,234,355
gen\chrome\common\net_benchmarking.mojom-test-utils.cc,1798,144254,101,321
gen\chrome\common\net_benchmarking.mojom.cc,2264,150648,1228,339
gen\chrome\common\network_diagnostics.mojom-test-utils.cc,1753,147798,64,337
gen\chrome\common\network_diagnostics.mojom.cc,2013,153939,368,355
gen\chrome\common\network_easter_egg.mojom-test-utils.cc,1630,144211,69,321
gen\chrome\common\network_easter_egg.mojom.cc,1887,150408,453,339
gen\chrome\common\open_search_description_document_handler.mojom-test-utils.cc,1687,147653,50,337
gen\chrome\common\open_search_description_document_handler.mojom.cc,1925,153706,192,355
gen\chrome\common\plugin.mojom-test-utils.cc,2164,174400,124,460
gen\chrome\common\plugin.mojom.cc,2869,179752,1403,474
gen\chrome\common\prerender_canceler.mojom-test-utils.cc,1604,147653,50,337
gen\chrome\common\prerender_canceler.mojom.cc,1948,153691,178,355
gen\chrome\common\renderer_configuration.mojom-test-utils.cc,2277,163992,65,401
gen\chrome\common\renderer_configuration.mojom.cc,2618,168767,414,410
gen\chrome\common\sync_encryption_keys_extension.mojom-test-utils.cc,1662,144197,59,321
gen\chrome\common\sync_encryption_keys_extension.mojom.cc,2195,150312,343,339
gen\chrome\common\conflicts\module_event_sink_win.mojom-test-utils.cc,1650,144174,46,321
gen\chrome\common\conflicts\module_event_sink_win.mojom.cc,1945,150216,178,339
gen\chrome\common\cache_stats_recorder.mojom-shared.cc,1403,139940,74,295
gen\chrome\common\chrome_render_frame.mojom-shared.cc,1757,155408,571,356
gen\chrome\common\content_settings_agent.mojom-shared.cc,1447,140038,170,295
gen\chrome\common\content_settings_manager.mojom-shared.cc,1892,154221,279,356
gen\chrome\common\media\webrtc_logging.mojom-shared.cc,1460,140811,304,297
gen\chrome\common\metrics.mojom-shared.cc,1352,139990,122,295
gen\chrome\common\navigation_corrector.mojom-shared.cc,1601,140270,121,297
gen\chrome\common\net_benchmarking.mojom-shared.cc,1469,140303,410,295
gen\chrome\common\network_diagnostics.mojom-shared.cc,1442,140336,177,297
gen\chrome\common\network_easter_egg.mojom-shared.cc,1398,140101,218,295
gen\chrome\common\open_search_description_document_handler.mojom-shared.cc,1439,140225,88,297
gen\chrome\common\plugin.mojom-shared.cc,1802,154552,835,360
gen\chrome\common\prerender_canceler.mojom-shared.cc,1528,140210,81,297
gen\chrome\common\renderer_configuration.mojom-shared.cc,1833,153385,248,350
gen\chrome\common\sync_encryption_keys_extension.mojom-shared.cc,1390,140021,144,295
