name,t_ms,num_dependent_lines,num_lines,num_deps
gen\mojo\public\js\grit\mojo_bindings_resources_map.cc,735,94555,27,106
gen\components\services\app_service\public\mojom\types.mojom-test-utils.cc,48,0,35,0
gen\components\services\app_service\public\mojom\types.mojom.cc,48,0,34,0
gen\components\services\app_service\public\mojom\types.mojom-shared.cc,1283,133034,96,253
gen\mojo\public\interfaces\bindings\interface_control_messages.mojom-test-utils.cc,45,0,35,0
gen\mojo\public\interfaces\bindings\interface_control_messages.mojom.cc,1762,142263,649,286
gen\mojo\public\interfaces\bindings\native_struct.mojom-test-utils.cc,48,0,35,0
gen\mojo\public\interfaces\bindings\native_struct.mojom.cc,1800,143203,117,290
gen\mojo\public\interfaces\bindings\pipe_control_messages.mojom-test-utils.cc,49,0,35,0
gen\mojo\public\interfaces\bindings\pipe_control_messages.mojom.cc,1735,144570,313,290
gen\mojo\public\interfaces\bindings\interface_control_messages.mojom-shared.cc,1524,134622,704,251
gen\mojo\public\interfaces\bindings\native_struct.mojom-shared.cc,1465,132949,171,251
gen\mojo\public\interfaces\bindings\pipe_control_messages.mojom-shared.cc,1466,133589,372,251
gen\ui\base\mojom\cursor_type.mojom-test-utils.cc,48,0,35,0
gen\ui\base\mojom\cursor_type.mojom.cc,51,0,34,0
gen\ui\base\mojom\cursor_type.mojom-shared.cc,1460,133037,135,253
gen\ipc\ipc.mojom-test-utils.cc,1778,155426,73,365
gen\ipc\ipc.mojom.cc,2278,161585,434,384
gen\ipc\ipc.mojom-shared.cc,1500,141045,259,298
gen\mojo\public\mojom\base\application_state.mojom-shared.cc,1274,132901,43,253
gen\mojo\public\mojom\base\big_buffer.mojom-shared.cc,1451,140254,148,295
gen\mojo\public\mojom\base\big_string.mojom-shared.cc,1404,140516,81,297
gen\mojo\public\mojom\base\file.mojom-shared.cc,1365,140019,83,295
gen\mojo\public\mojom\base\file_error.mojom-shared.cc,1283,132937,67,253
gen\mojo\public\mojom\base\file_info.mojom-shared.cc,1274,133545,95,255
gen\mojo\public\mojom\base\file_path.mojom-shared.cc,1281,132976,85,253
gen\mojo\public\mojom\base\generic_pending_receiver.mojom-shared.cc,1452,140040,94,295
gen\mojo\public\mojom\base\memory_allocator_dump_cross_process_uid.mojom-shared.cc,1307,132951,74,253
gen\mojo\public\mojom\base\memory_pressure_level.mojom-shared.cc,1307,132895,39,253
gen\mojo\public\mojom\base\message_pump_type.mojom-shared.cc,1405,132901,43,253
gen\mojo\public\mojom\base\process_id.mojom-shared.cc,1329,132952,74,253
gen\mojo\public\mojom\base\read_only_buffer.mojom-shared.cc,1303,132976,85,253
gen\mojo\public\mojom\base\ref_counted_memory.mojom-shared.cc,1426,140516,81,297
gen\mojo\public\mojom\base\shared_memory.mojom-shared.cc,1465,140302,197,295
gen\mojo\public\mojom\base\string16.mojom-shared.cc,1448,140672,140,297
gen\mojo\public\mojom\base\text_direction.mojom-shared.cc,1310,132895,39,253
gen\mojo\public\mojom\base\thread_priority.mojom-shared.cc,1244,132898,41,253
gen\mojo\public\mojom\base\time.mojom-shared.cc,1322,133213,170,253
gen\mojo\public\mojom\base\token.mojom-shared.cc,1290,132956,74,253
gen\mojo\public\mojom\base\unguessable_token.mojom-shared.cc,1302,132956,74,253
gen\mojo\public\mojom\base\values.mojom-shared.cc,1478,133476,245,253
gen\mojo\public\mojom\base\logfont_win.mojom-shared.cc,1287,132976,85,253
gen\mojo\public\mojom\base\application_state.mojom-test-utils.cc,50,0,35,0
gen\mojo\public\mojom\base\application_state.mojom.cc,54,0,34,0
gen\mojo\public\mojom\base\big_buffer.mojom-test-utils.cc,44,0,35,0
gen\mojo\public\mojom\base\big_buffer.mojom.cc,1942,151119,182,342
gen\mojo\public\mojom\base\big_string.mojom-test-utils.cc,47,0,35,0
gen\mojo\public\mojom\base\big_string.mojom.cc,1769,151693,79,348
gen\mojo\public\mojom\base\file.mojom-test-utils.cc,46,0,35,0
gen\mojo\public\mojom\base\file.mojom.cc,1682,150922,84,342
gen\mojo\public\mojom\base\file_error.mojom-test-utils.cc,47,0,35,0
gen\mojo\public\mojom\base\file_error.mojom.cc,43,0,34,0
gen\mojo\public\mojom\base\file_info.mojom-test-utils.cc,51,0,35,0
gen\mojo\public\mojom\base\file_info.mojom.cc,1582,144877,104,301
gen\mojo\public\mojom\base\file_path.mojom-test-utils.cc,48,0,35,0
gen\mojo\public\mojom\base\file_path.mojom.cc,1693,143069,79,293
gen\mojo\public\mojom\base\generic_pending_receiver.mojom-test-utils.cc,52,0,35,0
gen\mojo\public\mojom\base\generic_pending_receiver.mojom.cc,1746,150567,84,342
gen\mojo\public\mojom\base\memory_allocator_dump_cross_process_uid.mojom-test-utils.cc,46,0,35,0
gen\mojo\public\mojom\base\memory_allocator_dump_cross_process_uid.mojom.cc,1578,143099,79,294
gen\mojo\public\mojom\base\memory_pressure_level.mojom-test-utils.cc,54,0,35,0
gen\mojo\public\mojom\base\memory_pressure_level.mojom.cc,43,0,34,0
gen\mojo\public\mojom\base\message_pump_type.mojom-test-utils.cc,46,0,35,0
gen\mojo\public\mojom\base\message_pump_type.mojom.cc,47,0,34,0
gen\mojo\public\mojom\base\process_id.mojom-test-utils.cc,54,0,35,0
gen\mojo\public\mojom\base\process_id.mojom.cc,1463,143045,79,293
gen\mojo\public\mojom\base\read_only_buffer.mojom-test-utils.cc,47,0,35,0
gen\mojo\public\mojom\base\read_only_buffer.mojom.cc,1684,143069,79,293
gen\mojo\public\mojom\base\ref_counted_memory.mojom-test-utils.cc,48,0,35,0
gen\mojo\public\mojom\base\ref_counted_memory.mojom.cc,1773,151841,79,348
gen\mojo\public\mojom\base\shared_memory.mojom-test-utils.cc,43,0,35,0
gen\mojo\public\mojom\base\shared_memory.mojom.cc,1854,151047,135,340
gen\mojo\public\mojom\base\string16.mojom-test-utils.cc,41,0,35,0
gen\mojo\public\mojom\base\string16.mojom.cc,1894,151995,107,347
gen\mojo\public\mojom\base\text_direction.mojom-test-utils.cc,43,0,35,0
gen\mojo\public\mojom\base\text_direction.mojom.cc,49,0,34,0
gen\mojo\public\mojom\base\thread_priority.mojom-test-utils.cc,40,0,35,0
gen\mojo\public\mojom\base\thread_priority.mojom.cc,45,0,34,0
gen\mojo\public\mojom\base\time.mojom-test-utils.cc,45,0,35,0
gen\mojo\public\mojom\base\time.mojom.cc,1567,143696,135,294
