name,t_ms,num_dependent_lines,num_lines,num_deps
..\..\build\precompile.cc,1338,88545,7,92
..\..\base\allocator\allocator_check.cc,390,355,46,6
..\..\base\allocator\allocator_extension.cc,413,2649,73,18
..\..\base\at_exit.cc,791,25394,114,68
..\..\base\barrier_closure.cc,721,24015,51,65
..\..\base\base64.cc,554,14859,44,31
..\..\base\base64url.cc,568,18897,101,44
..\..\base\big_endian.cc,509,5897,129,25
..\..\base\build_time.cc,560,7245,25,32
..\..\base\callback_helpers.cc,672,24112,40,65
..\..\base\callback_internal.cc,634,21807,100,57
..\..\base\command_line.cc,1189,16716,557,37
..\..\base\containers\intrusive_heap.cc,544,3670,46,18
..\..\base\cpu.cc,586,24802,312,38
..\..\base\debug\activity_analyzer.cc,1927,46919,401,121
..\..\base\debug\activity_tracker.cc,2229,54731,1798,150
..\..\base\debug\alias.cc,488,14224,16,29
..\..\base\debug\asan_invalid_access.cc,709,14282,104,31
..\..\base\debug\close_handle_hook_win.cc,905,27210,263,52
..\..\base\debug\crash_logging.cc,463,3314,54,19
..\..\base\debug\debugger.cc,565,7520,42,32
..\..\base\debug\debugger_win.cc,654,240,37,5
..\..\base\debug\dump_without_crashing.cc,439,2607,41,17
..\..\base\debug\gdi_debug_util_win.cc,1110,33934,509,72
..\..\base\debug\invalid_access_win.cc,686,3734,56,25
..\..\base\debug\profiler.cc,862,16924,180,41
..\..\base\debug\stack_trace.cc,515,12987,305,25
..\..\base\debug\stack_trace_win.cc,1027,38190,363,86
..\..\base\debug\task_trace.cc,801,35501,111,80
..\..\base\deferred_sequenced_task_runner.cc,899,38841,126,90
..\..\base\enterprise_util_win.cc,454,3754,21,21
..\..\base\environment.cc,776,14320,123,31
..\..\base\feature_list.cc,1547,48341,500,128
..\..\base\file_version_info_win.cc,866,16653,201,42
..\..\base\files\file.cc,767,34803,167,74
..\..\base\files\file_enumerator.cc,911,35185,25,72
..\..\base\files\file_path.cc,1142,34443,1365,73
..\..\base\files\file_path_constants.cc,501,13864,25,26
..\..\base\files\file_path_watcher.cc,871,37971,46,88
..\..\base\files\file_path_watcher_win.cc,1158,42880,301,107
..\..\base\files\file_proxy.cc,1387,41798,358,103
..\..\base\files\file_tracing.cc,700,33445,65,69
..\..\base\files\file_util.cc,1118,36296,337,78
..\..\base\files\file_util_win.cc,1623,41700,1048,103
..\..\base\files\file_win.cc,1027,35964,454,78
..\..\base\files\important_file_writer.cc,1042,46648,314,126
..\..\base\files\memory_mapped_file.cc,948,33476,144,69
..\..\base\files\memory_mapped_file_win.cc,978,33755,144,70
..\..\base\files\scoped_file.cc,409,3091,49,19
..\..\base\files\scoped_temp_dir.cc,722,33755,97,69
..\..\base\guid.cc,487,14378,90,31
..\..\base\hash\hash.cc,525,14333,127,30
..\..\base\json\json_file_value_serializer.cc,783,36297,113,74
..\..\base\json\json_parser.cc,1022,20530,734,49
..\..\base\json\json_reader.cc,665,17706,154,39
..\..\base\json\json_string_value_serializer.cc,572,17954,55,38
..\..\base\json\json_value_converter.cc,687,17685,59,36
..\..\base\json\json_writer.cc,663,17484,206,38
..\..\base\json\string_escape.cc,591,14911,164,33
..\..\base\lazy_instance_helpers.cc,666,23487,64,64
..\..\base\location.cc,540,27078,96,48
..\..\base\logging.cc,1740,54397,1180,153
..\..\base\logging_win.cc,927,24696,138,68
..\..\base\memory\aligned_memory.cc,473,2630,49,17
..\..\base\memory\discardable_memory.cc,394,571,13,4
..\..\base\memory\discardable_memory_allocator.cc,445,2608,29,17
..\..\base\memory\discardable_shared_memory.cc,1424,49343,542,134
..\..\base\memory\memory_pressure_listener.cc,1443,52556,130,137
..\..\base\memory\memory_pressure_monitor.cc,698,36363,74,81
..\..\base\memory\platform_shared_memory_region.cc,713,31846,62,66
..\..\base\memory\protected_memory.cc,602,21611,17,56
..\..\base\memory\protected_memory_win.cc,948,37766,52,80
..\..\base\memory\read_only_shared_memory_region.cc,692,32191,103,68
..\..\base\memory\ref_counted.cc,611,21613,101,56
..\..\base\memory\ref_counted_memory.cc,838,36275,112,84
..\..\base\memory\shared_memory_handle.cc,514,16058,23,36
..\..\base\memory\shared_memory_mapping.cc,1070,36449,115,87
..\..\base\memory\shared_memory_tracker.cc,1359,53581,147,148
..\..\base\memory\unsafe_shared_memory_region.cc,667,32184,96,68
..\..\base\memory\weak_ptr.cc,688,22058,99,58
..\..\base\memory\writable_shared_memory_region.cc,646,32462,99,70
..\..\base\message_loop\message_loop.cc,1662,66384,164,181
..\..\base\message_loop\message_loop_current.cc,1673,66586,265,183
..\..\base\message_loop\message_pump.cc,1049,36389,93,91
..\..\base\message_loop\message_pump_default.cc,776,33336,98,72
..\..\base\message_loop\message_pump_win.cc,1629,54500,734,149
..\..\base\message_loop\work_id_provider.cc,634,21182,54,59
..\..\base\metrics\bucket_ranges.cc,614,20570,53,51
..\..\base\metrics\crc32.cc,393,115,81,3
..\..\base\metrics\dummy_histogram.cc,710,20892,102,53
..\..\base\metrics\field_trial.cc,2317,54382,1500,150
..\..\base\metrics\field_trial_param_associator.cc,1421,49385,88,130
..\..\base\metrics\field_trial_params.cc,1457,49768,207,133
..\..\base\metrics\histogram.cc,1341,46535,1389,113
..\..\base\metrics\histogram_base.cc,1116,41722,215,98
..\..\base\metrics\histogram_delta_serialization.cc,932,40382,81,94
..\..\base\metrics\histogram_functions.cc,738,34038,254,69
..\..\base\metrics\histogram_samples.cc,844,36451,315,79
..\..\base\metrics\histogram_snapshot_manager.cc,917,38093,123,89
..\..\base\metrics\metrics_hashes.cc,492,4330,31,27
..\..\base\metrics\persistent_histogram_allocator.cc,1695,49493,1009,135
..\..\base\metrics\persistent_memory_allocator.cc,1228,39427,1255,95
..\..\base\metrics\persistent_sample_map.cc,950,37811,304,83
..\..\base\metrics\sample_map.cc,823,30932,125,58
..\..\base\metrics\sample_vector.cc,807,36438,429,80
..\..\base\metrics\single_sample_metrics.cc,719,32999,77,65
..\..\base\metrics\sparse_histogram.cc,956,40448,290,101
..\..\base\metrics\statistics_recorder.cc,1576,44387,415,107
..\..\base\metrics\ukm_source_id.cc,460,2770,50,19
..\..\base\metrics\user_metrics.cc,1233,52563,76,139
..\..\base\native_library.cc,737,14000,15,27
..\..\base\native_library_win.cc,1015,38490,258,93
..\..\base\observer_list_internal.cc,670,22445,20,61
..\..\base\observer_list_threadsafe.cc,797,41175,16,102
..\..\base\observer_list_types.cc,656,22107,16,59
..\..\base\one_shot_event.cc,842,39452,111,98
..\..\base\path_service.cc,1492,34693,339,75
..\..\base\pending_task.cc,698,35058,43,76
..\..\base\pickle.cc,770,22803,435,60
..\..\base\power_monitor\power_monitor.cc,1412,52634,84,139
..\..\base\power_monitor\power_monitor_device_source.cc,860,21808,28,59
..\..\base\power_monitor\power_monitor_source.cc,835,41356,69,105
..\..\base\process\environment_internal.cc,566,3325,128,20
..\..\base\process\kill.cc,1149,42973,62,110
..\..\base\process\kill_win.cc,930,33715,116,70
..\..\base\process\launch.cc,1052,33021,27,66
..\..\base\process\launch_win.cc,1471,47909,431,125
..\..\base\process\memory.cc,518,15192,54,33
..\..\base\process\memory_win.cc,745,14348,84,29
..\..\base\process\process_handle.cc,492,14273,40,28
..\..\base\process\process_handle_win.cc,789,28334,52,55
..\..\base\process\process_info_win.cc,947,31099,86,61
..\..\base\process\process_iterator.cc,972,33485,66,68
..\..\base\process\process_iterator_win.cc,974,33485,43,68
..\..\base\process\process_metrics.cc,756,35324,167,68
..\..\base\process\process_metrics_win.cc,1085,35775,305,72
..\..\base\process\process_win.cc,1173,42385,252,102
..\..\base\profiler\frame.cc,741,14006,14,28
..\..\base\profiler\metadata_recorder.cc,1058,35522,205,76
..\..\base\profiler\native_unwinder_win.cc,950,14396,98,33
..\..\base\profiler\profile_builder.cc,888,18716,7,43
..\..\base\profiler\sample_metadata.cc,896,20485,35,52
..\..\base\profiler\sampling_profiler_thread_token.cc,563,7503,17,32
..\..\base\profiler\stack_buffer.cc,408,194,17,4
..\..\base\profiler\stack_copier.cc,625,754,74,5
..\..\base\profiler\stack_copier_suspend.cc,981,20826,82,56
..\..\base\profiler\stack_sampler.cc,573,7667,27,35
..\..\base\profiler\stack_sampler_impl.cc,984,21035,116,59
..\..\base\profiler\stack_sampler_win.cc,976,33311,40,76
